i,mean,std,ci
72,0.011606047851870758,0.000705936285970086,0.00013906056186246122
73,0.012257831265227963,0.0010754385293682972,0.00021184785244037112
74,0.016065289275814788,0.0017454560821944345,0.0003438328760260012
75,0.013922224141130543,0.002117388559191433,0.0004170988920305833
76,0.012159788247310755,0.0013965662995375396,0.00027510598074016284
77,0.013232086644028172,0.0015938813409389933,0.0003139745600532308
78,0.015376025980169123,0.001075676224230414,0.00021189467533605546
79,0.01748624714938077,0.006047766298580187,0.0011913338302729712
80,0.017534032012477066,0.005296141607772291,0.0010432732277926592
81,0.01841909716827701,0.0036280458031424326,0.0007146793526195223
82,0.01451123362839824,0.002160219878128971,0.00042553612269167546
83,0.013771167909256135,0.002219968698939304,0.0004373058882606556
84,0.01734450369170218,0.005296684262608821,0.0010433801239644032
85,0.014665579555010555,0.0019941787649928057,0.00039282811356411787
86,0.013681645345206212,0.001946018196528619,0.00038334108783198386
87,0.015110904520208185,0.0021581831638943874,0.0004251349156260473
88,0.013203982150915897,0.0016488401648936362,0.0003248007565391225
89,0.01443851837004074,0.001989669710787545,0.00039193988664659913
90,0.016645301472056995,0.002583729208059018,0.0005089621294638537
91,0.015577754589042278,0.0017836370367499987,0.0003513540434436042
92,0.015750829619590682,0.0017724722874917353,0.00034915472838392556
93,0.014708798341076783,0.002228746285600172,0.00043903496233874947
94,0.014812199756352588,0.001947818628429574,0.0003836957502522586
95,0.013377057181464301,0.0014769284656524846,0.0002909363158490486
96,0.012963292574641681,0.0019464125900694178,0.00038341877839481286
97,0.015611010368424232,0.0022516580456637173,0.00044354829065323915
98,0.01383618874983354,0.0015642954706386468,0.0003081465160371871
99,0.013238904452083087,0.0016320348658985307,0.000321490324185706
