experiment-type,i,mean,std,ci
async-single-vm,90,0.016091267267862957,0.00838022010142655,0.0016507978680172983
async-single-vm,91,0.012933663647584241,0.0009192589763833937,0.00018108244652322998
async-single-vm,92,0.013127811027295662,0.0012180653525236047,0.00023994354118568004
async-single-vm,93,0.011178483866681957,0.0009477252560983465,0.00018668994528759164
async-single-vm,94,0.011439046474418254,0.0007814090618370075,0.00015392774864115365
async-single-vm,95,0.010949527374421708,0.000835560118145563,0.0001645948250691142
async-single-vm,96,0.011065052013204556,0.0010547770026908465,0.00020777779177653342
async-single-vm,97,0.011106047967467645,0.0010051693347247791,0.00019800570565892012
async-single-vm,98,0.011587509001144256,0.0010909737975027902,0.00021490810470166106
async-single-vm,99,0.010387317098752416,0.0007196611089968459,0.0001417641792277895
async-diff-vm,0,0.01686705724157468,0.003796373008008037,0.0007478376930399784
async-diff-vm,1,0.015048624289156211,0.004985619170145887,0.0009821042165016622
async-diff-vm,2,0.013769185904300573,0.0018132321308209779,0.0003571839044263518
async-diff-vm,3,0.014104366302490234,0.0019350667569026938,0.0003811837920846896
async-diff-vm,4,0.011825477234040848,0.001048744686196972,0.00020658950136330208
async-diff-vm,5,0.012399589172517411,0.0013843232722063209,0.00027269425847370194
async-diff-vm,6,0.01255296938347094,0.0018648122833194295,0.0003673445451667968
async-diff-vm,7,0.015477088966754952,0.00159326519466127,0.00031385318699269754
async-diff-vm,8,0.015634149011939463,0.0016910801247910724,0.00033312149691346586
async-diff-vm,9,0.019394077435888425,0.00753537089350208,0.0014843732091947448
async-diff-vm,10,0.015034507019351226,0.0016594251043177688,0.0003268858563602448
async-diff-vm,11,0.014585468504163954,0.0012121666128522242,0.0002387815637249871
async-diff-vm,12,0.016831328170468108,0.002202648061730441,0.0004338939407663141
async-diff-vm,13,0.01638017760382758,0.0025375516814028407,0.0004998657380049525
async-diff-vm,14,0.017205943964948556,0.001194960931782832,0.00023539226114302944
async-diff-vm,15,0.017351150512695312,0.0040090653226004126,0.0007897354015993262
async-diff-vm,16,0.015173069154373322,0.0014204292385094314,0.00027980667932595775
async-diff-vm,17,0.015065961413913302,0.0059943849528013675,0.0011808183771300914
async-diff-vm,18,0.016293672600177802,0.0017665974764952369,0.0003479974645709652
async-diff-vm,19,0.015111937667384293,0.0019886682492749057,0.0003917426113352162
async-diff-vm,20,0.014796283509996202,0.0010324928749886352,0.00020338809913645904
async-diff-vm,21,0.015848778715037336,0.0017258304264390698,0.0003399668688940546
async-diff-vm,22,0.014931958131115846,0.0016742819756752202,0.0003298124729962581
async-diff-vm,23,0.0143409256983285,0.0016596763942696357,0.00032693535731747215
async-diff-vm,24,0.013646460542775164,0.0013875801086391261,0.00027333581425322624
async-diff-vm,25,0.013472140437424784,0.0016246381227876425,0.0003200332589046107
async-diff-vm,26,0.014587537206784643,0.005509106540169979,0.0010852246386278837
async-diff-vm,27,0.013836867881543709,0.0016721635733631228,0.0003293951744076664
async-diff-vm,28,0.014284820267648407,0.002862155065625258,0.0005638085185214629
async-diff-vm,29,0.014102393930608576,0.0016524557061070278,0.0003255129726449715
async-diff-vm,30,0.012974669234921235,0.0014259937230529296,0.0002809028127341314
async-diff-vm,31,0.012774445793845436,0.001696868611452839,0.0003342617559191528
async-diff-vm,32,0.014811968562578914,0.001404297804404214,0.000276628989873097
async-diff-vm,33,0.014110090756657147,0.0019796175880327682,0.0003899597450021322
async-diff-vm,34,0.011931087031508938,0.0014210841696254359,0.00027993569251140074
async-diff-vm,35,0.012272068948456736,0.0013609594450223557,0.000268091878627205
async-diff-vm,36,0.015661783892698962,0.006266038180174185,0.0012343306432948823
async-diff-vm,37,0.0127319037312209,0.0015849467622598842,0.00031221456052379177
async-diff-vm,38,0.01193750747526535,0.0011854186038395415,0.00023351254265902157
async-diff-vm,39,0.012524698719833836,0.0014388423640890372,0.00028343383327686334
async-diff-vm,40,0.013128379378655944,0.0018598739272071643,0.0003663717511777404
async-diff-vm,41,0.014439243258851948,0.0015485605607828388,0.00030504693686992984
async-diff-vm,42,0.012716433014532532,0.0015727018349525972,0.0003098024639859628
async-diff-vm,43,0.015007098515828451,0.0013274894033328535,0.0002614987017422596
async-diff-vm,44,0.01540636293815844,0.002880161840316762,0.0005673556264626424
async-diff-vm,45,0.013292676270610154,0.0015026471136794133,0.000296002565758632
async-diff-vm,46,0.013259001452513415,0.005158556099790655,0.0010161706146754336
async-diff-vm,47,0.01390812372920489,0.0018993452145634525,0.00037414709791410675
async-diff-vm,48,0.012318071692880957,0.0011360281400186849,0.0002237832430238036
async-diff-vm,49,0.012776073783335059,0.0018854806779069538,0.00037141595872246437
async-diff-vm,50,0.012928960299251056,0.0017175869594348763,0.00033834300966471565
async-diff-vm,51,0.013027289901116882,0.0013785454833850812,0.0002715561068079321
async-diff-vm,52,0.012531964465825244,0.0013711749116058264,0.0002701041969497183
async-diff-vm,53,0.012747297383318043,0.001527699000733827,0.00030093747214995654
async-diff-vm,54,0.014143182773782749,0.001598659358372532,0.000314915769340955
async-diff-vm,55,0.014596158807927912,0.001651996600937962,0.00032542253470597743
async-diff-vm,56,0.01348109437961771,0.004927385818991913,0.0009706329793779358
async-diff-vm,57,0.013080563208069464,0.00173371585974967,0.00034152019999275873
async-diff-vm,58,0.014522711435953775,0.0020437143999910514,0.0004025860100938364
async-diff-vm,59,0.01521086451983211,0.001287347326007226,0.00025359121782597785
async-diff-vm,60,0.013405621653855448,0.0017456000123843446,0.0003438612284615902
async-diff-vm,61,0.012487394641144107,0.0013032201637115603,0.0002567179670431302
async-diff-vm,62,0.013676373645512744,0.00150757045555068,0.0002969724021312142
async-diff-vm,63,0.012673247944224964,0.0016065519084252015,0.00031647050234825973
async-diff-vm,64,0.011780054882319287,0.0013966256603920911,0.0002751176740812626
async-diff-vm,65,0.012380561443290325,0.0014158444452143173,0.0002789035327611574
async-diff-vm,66,0.014523255704629302,0.002021085364433098,0.000398128374947953
async-diff-vm,67,0.014236806619046914,0.004951916842831216,0.0009754652822726186
async-diff-vm,68,0.01218093525279652,0.0017122453452596605,0.0003372907789135548
async-diff-vm,69,0.012937632474032316,0.0015207882487071835,0.00029957614099469993
async-diff-vm,70,0.012452436215949781,0.0017406306655981503,0.0003428823296998868
async-diff-vm,71,0.012453565693864918,0.0015663248257728247,0.0003085462734526732
async-diff-vm,72,0.012170126943877249,0.001567563269809568,0.00030879023133811905
async-diff-vm,73,0.012635919782850478,0.001869641479843549,0.0003682958360911123
async-diff-vm,74,0.012879229555226336,0.0018607520599319156,0.00036654473227039797
async-diff-vm,75,0.012615264064133769,0.002039935702241259,0.000401841654204165
async-diff-vm,76,0.013090010845299923,0.0016213653701105972,0.0003193885678253281
async-diff-vm,77,0.012713957314539438,0.001361833781153787,0.0002682641118387708
async-diff-vm,78,0.013270329947423453,0.0017325113980849194,0.0003412829362068183
async-diff-vm,79,0.011995144564696032,0.001728901118734485,0.0003405717566217344
async-diff-vm,80,0.012155578594015103,0.0014805453621118104,0.00029164879892128653
async-diff-vm,81,0.01486020858841713,0.005629079756044666,0.0011088578519072578
async-diff-vm,82,0.01261035842124862,0.0012577977803503516,0.00024777032930743594
async-diff-vm,83,0.011621075447159583,0.0012515594420132075,0.00024654145518452654
async-diff-vm,84,0.011529688883309413,0.001360346751838996,0.00026797118578279305
async-diff-vm,85,0.013726935242161606,0.0017538893379117786,0.00034549412124273087
async-diff-vm,86,0.012283472099689522,0.0012762984663922585,0.00025141473156718545
