msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
16,67,1663363567758,1663363567774,16,1663363567825,1663363567825,0
16,73,1663363567892,1663363567900,8,1663363567964,1663363567965,1
16,58,1663363568010,1663363568026,16,1663363568068,1663363568068,0
16,59,1663363568127,1663363568134,7,1663363568186,1663363568186,0
16,100,1663363568234,1663363568243,9,1663363568333,1663363568334,1
16,84,1663363568397,1663363568416,19,1663363568480,1663363568481,1
16,168,1663363568559,1663363568668,109,1663363568726,1663363568727,1
16,65,1663363568773,1663363568780,7,1663363568838,1663363568838,0
16,71,1663363568908,1663363568922,14,1663363568978,1663363568979,1
16,105,1663363569039,1663363569048,9,1663363569143,1663363569144,1
16,55,1663363569214,1663363569222,8,1663363569268,1663363569269,1
16,61,1663363569316,1663363569331,15,1663363569376,1663363569377,1
16,83,1663363569437,1663363569458,21,1663363569520,1663363569520,0
16,55,1663363569573,1663363569585,12,1663363569628,1663363569628,0
16,88,1663363569692,1663363569712,20,1663363569780,1663363569780,0
16,70,1663363569845,1663363569853,8,1663363569915,1663363569915,0
16,103,1663363569962,1663363569979,17,1663363570065,1663363570065,0
16,84,1663363570117,1663363570138,21,1663363570200,1663363570201,1
32,139,1663363570591,1663363570641,50,1663363570730,1663363570730,0
32,98,1663363570830,1663363570846,16,1663363570928,1663363570928,0
32,134,1663363571024,1663363571038,14,1663363571158,1663363571158,0
32,119,1663363571271,1663363571290,19,1663363571389,1663363571390,1
32,162,1663363571493,1663363571543,50,1663363571655,1663363571655,0
32,201,1663363571760,1663363571781,21,1663363571961,1663363571961,0
32,112,1663363572079,1663363572097,18,1663363572191,1663363572191,0
32,153,1663363572310,1663363572334,24,1663363572463,1663363572463,0
32,144,1663363572579,1663363572601,22,1663363572722,1663363572723,1
32,198,1663363572876,1663363572918,42,1663363573073,1663363573074,1
32,133,1663363573252,1663363573277,25,1663363573385,1663363573385,0
32,136,1663363573513,1663363573528,15,1663363573649,1663363573649,0
32,138,1663363573789,1663363573811,22,1663363573927,1663363573927,0
32,259,1663363574030,1663363574048,18,1663363574288,1663363574289,1
32,133,1663363574390,1663363574406,16,1663363574522,1663363574523,1
32,141,1663363574659,1663363574673,14,1663363574799,1663363574800,1
32,130,1663363574913,1663363574926,13,1663363575042,1663363575043,1
32,96,1663363575134,1663363575149,15,1663363575229,1663363575230,1
32,124,1663363575344,1663363575369,25,1663363575468,1663363575468,0
32,95,1663363575560,1663363575575,15,1663363575654,1663363575655,1
32,158,1663363575810,1663363575858,48,1663363575968,1663363575968,0
32,135,1663363576143,1663363576173,30,1663363576278,1663363576278,0
32,166,1663363576402,1663363576420,18,1663363576567,1663363576568,1
32,164,1663363576699,1663363576730,31,1663363576863,1663363576863,0
32,145,1663363577000,1663363577023,23,1663363577144,1663363577145,1
