type,env,start_time,end_time,elapsed_time
async,docker,1663887323.687961,1663887323.6966877,0.00872659683227539
async,docker,1663887323.6967194,1663887323.7075758,0.010856389999389648
async,docker,1663887323.7076197,1663887323.717392,0.009772300720214844
async,docker,1663887323.7174237,1663887323.7259278,0.008504152297973633
async,docker,1663887323.7259595,1663887323.7347052,0.008745670318603516
async,docker,1663887323.734747,1663887323.7436285,0.008881568908691406
async,docker,1663887323.7436728,1663887323.7534676,0.00979471206665039
async,docker,1663887323.75351,1663887323.7640753,0.01056528091430664
async,docker,1663887323.7641172,1663887323.77418,0.010062694549560547
sync,local,1662764393.8187575,1662764393.8668652,0.04810762405395508
sync,local,1662764393.8668652,1662764393.894391,0.027525901794433594
sync,local,1662764393.894391,1662764393.9233034,0.02891230583190918
sync,local,1662764393.9233034,1662764393.9508033,0.027499914169311523
sync,local,1662764393.9508033,1662764393.9773262,0.02652287483215332
sync,local,1662764393.9773262,1662764394.0043454,0.027019262313842773
sync,local,1662764394.0043454,1662764394.0346656,0.030320167541503906
sync,local,1662764394.0346656,1662764394.0695333,0.03486776351928711
sync,local,1662764394.0695333,1662764394.102036,0.03250265121459961
sync,local,1662764394.102036,1662764394.129746,0.0277099609375
sync,local,1662764394.129746,1662764394.1535387,0.023792743682861328
sync,local,1662764394.1535387,1662764394.1795342,0.025995492935180664
sync,local,1662764394.1799102,1662764394.2066135,0.026703357696533203
sync,local,1662764394.2066135,1662764394.235805,0.02919149398803711
sync,local,1662764394.235805,1662764394.2686675,0.03286242485046387
sync,local,1662764394.2687032,1662764394.29641,0.02770686149597168
sync,local,1662764394.29641,1662764394.3254747,0.029064655303955078
sync,local,1662764394.3254747,1662764394.3536272,0.0281524658203125
sync,local,1662764394.3536272,1662764394.3803813,0.026754140853881836
sync,local,1662764394.3803813,1662764394.4055588,0.025177478790283203
sync,local,1662764394.4055588,1662764394.4309237,0.02536487579345703
sync,local,1662764394.4309237,1662764394.4539587,0.023035049438476562
sync,local,1662764394.4539587,1662764394.4780757,0.024116992950439453
sync,local,1662764394.4780757,1662764394.5018044,0.023728609085083008
sync,local,1662764394.5018044,1662764394.5270476,0.025243282318115234
sync,local,1662764394.5270476,1662764394.5509038,0.023856163024902344
sync,local,1662764394.5509038,1662764394.5792825,0.028378725051879883
sync,local,1662764394.5792825,1662764394.607248,0.027965545654296875
sync,local,1662764394.607248,1662764394.6347048,0.02745676040649414
sync,local,1662764394.6347048,1662764394.6621647,0.02745985984802246
sync,local,1662764394.662295,1662764394.6892946,0.026999473571777344
sync,local,1662764394.6892946,1662764394.7155845,0.026289939880371094
sync,local,1662764394.7155845,1662764394.7402945,0.02470993995666504
sync,local,1662764394.7402945,1662764394.7658036,0.025509119033813477
sync,local,1662764394.7658036,1662764394.7917385,0.025934934616088867
sync,local,1662764394.7917385,1662764394.8198364,0.028097867965698242
sync,local,1662764394.8198364,1662764394.8438587,0.024022340774536133
